SURVEY_YEAR,SURVEY_QUARTER,STRATA,BA_LABEL,BA_N_ROLLING,BA_D_ROLLING,BA_PCT_ROLLING,DELTA_PQ
2023,4,PL ,Acrisure,61,1867,0.032672737011247989,-0.0024293038050785393
2024,3,CL ,Aon,342,1233,0.27737226277372262,0.058725398087253966
2023,3,PL ,Brown & Brown,54,1225,0.044081632653061226,
2023,3,CL ,Hippo,147,557,0.26391382405745062,
2025,1,CL ,Hiscox,354,665,0.53233082706766921,0.26955710443993197
2025,1,CL ,Hub International,738,1233,0.59854014598540151,0.20734210197562153
2025,2,PL ,Willis Towers Watson,57,642,0.088785046728971959,0.031000135011475971
2023,4,CL ,Acrisure,137,1247,0.10986367281475541,-0.022436684753778566
2024,4,CL ,Acrisure,287,1227,0.23390383048084759,0.045744868599257971
2024,2,CL ,Hiscox,73,464,0.15732758620689655,0.0540218010829296
2023,3,CL ,Hub International,148,839,0.17640047675804529,
2025,1,PL ,Lemonade,523,923,0.56663055254604555,0.2390871282284277
2024,2,CL ,Marsh McLennan,175,1212,0.14438943894389439,0.0085373489117400447
2023,3,PL ,Marsh McLennan,100,1225,0.081632653061224483,
2025,2,PL ,Aon,193,748,0.25802139037433153,0.062755118184982417
2024,2,PL ,Brown & Brown,76,1858,0.040904198062432721,0.0080731969860064548
2024,4,PL ,Brown & Brown,109,1820,0.059890109890109892,0.0043956043956044008
2024,1,CL ,Hippo,67,484,0.13842975206611571,-0.089786015568739053
2024,4,CL ,Hub International,480,1227,0.39119804400978,0.079762520895424738
2025,1,CL ,Willis Towers Watson,339,1021,0.33202742409402547,0.15598830428962449
2025,2,PL ,Hub International,105,664,0.15813253012048192,0.027217703622059219
2025,1,CL ,Insureon,473,763,0.61992136304062906,0.3088906216301408
2025,2,CL,Lockton Companies,132,450,0.29333333333333333,
2024,3,PL ,Marsh McLennan,149,1820,0.081868131868131869,0.010285785258874608
2024,4,PL ,SoFi,505,804,0.62810945273631846,0.029966216662047906
2025,2,PL,Acrisure,23,900,0.025555555555555557,
2024,1,CL ,Allstate,416,478,0.87029288702928875,-0.03094168087194582
2024,3,CL ,Lockton Companies,213,1233,0.17274939172749393,0.048161932981619346
2025,1,PL ,Acrisure,99,1254,0.078947368421052627,0.037738577212261419
2025,1,PL ,Aon,264,1352,0.19526627218934911,0.09416737109044801
2025,2,CL,Insureon,173,450,0.38444444444444442,
2023,4,CL ,Insureon,128,725,0.17655172413793102,-0.011058895331095525
2024,4,PL ,Lemonade,264,806,0.32754342431761785,0.04125847092214513
2024,1,CL ,SoFi,322,483,0.66666666666666663,-0.042746703046839474
2024,3,CL ,Brown & Brown,300,1233,0.24330900243309003,0.045289200452892
