ResponseId,Q75_SHARED_1,Q75_SHARED_2,Q75_SHARED_3,Q75_SHARED_4,Q75_SHARED_5,Q75_SHARED_6,Q75_SHARED_7,Q75_SHARED_8,Q37_SHARED_1,Q37_SHARED_2,Q37_SHARED_3,Q37_SHARED_4,Q37_SHARED_5,Q37_SHARED_6,Q37_SHARED_7,Q37_SHARED_8,Q38_SHARED_1,Q38_SHARED_2,Q38_SHARED_3,Q38_SHARED_4,Q38_SHARED_5,Q38_SHARED_6,Q38_SHARED_7,Q38_SHARED_8,Q40_SHARED_1,Q40_SHARED_2,Q40_SHARED_3,Q40_SHARED_4,Q40_SHARED_5,Q40_SHARED_6,Q40_SHARED_7,Q40_SHARED_8,Q41_SHARED_1,Q41_SHARED_2,Q41_SHARED_3,Q41_SHARED_4,Q41_SHARED_5,Q41_SHARED_6,Q41_SHARED_7,Q41_SHARED_8,Q43_SHARED_1,Q43_SHARED_2,Q43_SHARED_3,Q43_SHARED_4,Q43_SHARED_5,Q43_SHARED_6,Q43_SHARED_7,Q43_SHARED_8,Q52_SHARED_1,Q52_SHARED_2,Q52_SHARED_3,Q52_SHARED_4,Q52_SHARED_5,Q52_SHARED_6,Q52_SHARED_7,Q52_SHARED_8,Q53_SHARED_1,Q53_SHARED_2,Q53_SHARED_3,Q53_SHARED_4,Q53_SHARED_5,Q53_SHARED_6,Q53_SHARED_7,Q53_SHARED_8,Q57_SHARED_1,Q57_SHARED_2,Q57_SHARED_3,Q57_SHARED_4,Q57_SHARED_5,Q57_SHARED_6,Q57_SHARED_7,Q57_SHARED_8,Year,Quarter,LOB,WAVE
R_7WhmIn2cAZluR8d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,5,5,5,5,5,5,5,,8,8,8,8,1,2,3,,2024,Q4,PL,2
R_3g7sefnzhvA4ZBs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,4,4,4,,3,3,,,2,1,8,,1,2,,,2024,Q4,PL,2
R_638IdaqCCpRWiMt,,,1,,,1,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,3,,,3,,,1,1,,,1,1,,,3,4,,,2,2,,,8,8,,,8,7,,,2024,Q4,PL,2
R_30LEswAOCycwiSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,3,3,3,,4,4,,,8,8,8,,8,8,,,2024,Q4,PL,2
R_7DeFEUaPObweepr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,4,4,4,,,,,,1,2,6,,2024,Q4,PL,2
R_1rfeGVXXHwqY4WQ,,1,,,,,1,,,1,,,,,,,,3,,,,,,,,4,,,,,3,,,1,,,,,1,,,4,,,,,4,,1,1,,,1,1,1,,4,4,,,4,4,4,,3,4,,,1,2,6,,2024,Q4,PL,2
R_1DSjMk0DLronQ0p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,3,3,,,5,5,,,8,8,,,1,2,,,2024,Q4,PL,2
R_71DgoJNzSxkenPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,,1,4,3,,4,3,3,,5,4,8,,1,2,6,,2024,Q4,PL,2
R_6lzY0Jc8X6wr6Nh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,3,3,3,3,3,3,3,,8,8,8,8,6,3,5,,2024,Q4,PL,2
R_3ffFAAVhz4bT5fz,,1,1,,,,1,,,,,,,,,,,,,,,,,,,3,3,,,,3,,,1,,,,,,,,3,2,,,,2,,1,1,1,1,1,1,1,,2,2,3,2,2,3,3,,8,4,8,8,1,2,1,,2024,Q4,PL,2
R_5zCIPk5pk8GG5jc,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,4,,2,4,3,5,5,,,,,,,1,,,2,,4,5,3,4,3,,,1,1,1,1,,1,,,4,2,5,2,,3,,,1,5,4,6,,4,,2024,Q4,PL,2
R_0VUZfoo6tDKErcy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2025,Q1,CL,3
R_6FM5pskkOvhUr8G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,4,,,,,,,,2025,Q1,CL,3
R_0AFo7TtnJlU6TWu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2025,Q1,CL,3
R_cumVv7ITyPicZO6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,5,,,4,,,,,5,,,5,,2025,Q1,CL,3
